epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5424,0,84.7342,0,0,0,0,0,0,99.6787,0,1.25e-05,1.25e-05,1.25e-05
2,27.4978,0,84.5713,0,0,0,0,0,0,99.6789,0,3.37875e-05,3.37875e-05,3.37875e-05
3,39.5531,0,84.4128,0,0,0,0,0,0,99.6749,0,5.0125e-05,5.0125e-05,5.0125e-05
4,51.6546,0,83.8003,0,0,0,0,0,0,99.6672,0,6.15125e-05,6.15125e-05,6.15125e-05
5,63.5691,0,83.0949,0,0,0,0,0,0,99.6633,0,6.795e-05,6.795e-05,6.795e-05
6,75.5125,0,82.6167,0,0,0,0,0,0,99.6531,0,6.94375e-05,6.94375e-05,6.94375e-05
7,87.5602,0,82.0768,0,0,0,0,0,0,99.6341,0,6.5975e-05,6.5975e-05,6.5975e-05
8,99.3526,0,81.376,0,0,0,0,0,0,99.5999,0,5.75625e-05,5.75625e-05,5.75625e-05
9,111.313,0,80.8974,0,0,0,0,0,0,99.5882,0,4.42e-05,4.42e-05,4.42e-05
10,123.626,0,81.2471,0,0,0,0,0,0,99.583,0,2.58875e-05,2.58875e-05,2.58875e-05
