epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5085,0,77.3022,0,0,0,0,0,0,99.2475,0,1.25e-05,1.25e-05,1.25e-05
2,24.631,0,77.2354,0,0,0,0,0,0,99.1931,0,3.37875e-05,3.37875e-05,3.37875e-05
3,36.8881,0,77.3374,0,0,0,0,0,0,99.0777,0,5.0125e-05,5.0125e-05,5.0125e-05
4,50.4786,0,76.8804,0,0,0,0,0,0,98.9605,0,6.15125e-05,6.15125e-05,6.15125e-05
5,63.7853,0,76.4369,0,0,0,0,0,0,98.8259,0,6.795e-05,6.795e-05,6.795e-05
6,77.8176,0,76.1994,0,0,0,0,0,0,98.6497,0,6.94375e-05,6.94375e-05,6.94375e-05
7,90.4213,0,75.8909,0,0,0,0,0,0,98.4548,0,6.5975e-05,6.5975e-05,6.5975e-05
8,103.288,0,75.376,0,0,0,0,0,0,98.2815,0,5.75625e-05,5.75625e-05,5.75625e-05
9,116.738,0,75.1123,0,0,0,0,0,0,98.2091,0,4.42e-05,4.42e-05,4.42e-05
10,130.608,0,75.5556,0,0,0,0,0,0,98.1256,0,2.58875e-05,2.58875e-05,2.58875e-05
