epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4437,0.44078,5.39381,0.28695,0.4961,1.0417,0.91807,0.92291,0.95881,0.89166,0.63841,0.64518,0.57401,0.137,0.39195,4.52169,0.29156,0.38897,0.93633,6.15226e-05,6.15226e-05,6.15226e-05
2,125.42,0.44157,5.4376,0.28281,0.50974,1.04336,0.91973,0.9116,0.9595,0.88398,0.65496,0.622,0.56418,0.12844,0.40823,4.54363,0.29227,0.40283,0.95536,0.000118311,0.000118311,0.000118311
3,185.863,0.44888,5.53983,0.28119,0.51777,1.04427,0.90562,0.93537,0.9554,0.8793,0.61939,0.59532,0.52426,0.11983,0.41388,4.60982,0.28825,0.40789,0.95809,0.000170215,0.000170215,0.000170215
4,247.386,0.46014,5.5567,0.28146,0.52189,1.05298,0.89472,0.92833,0.95406,0.87764,0.62452,0.59811,0.53993,0.11806,0.41105,4.62953,0.29336,0.40771,0.95429,0.000163022,0.000163022,0.000163022
5,309.881,0.45761,5.56864,0.2807,0.52987,1.05254,0.91622,0.91058,0.95314,0.87537,0.60684,0.58293,0.51291,0.11817,0.41111,4.64082,0.29026,0.4128,0.95112,0.000155696,0.000155696,0.000155696
6,372.579,0.45731,5.54128,0.28041,0.52752,1.05141,0.91233,0.92499,0.9534,0.87788,0.62644,0.59882,0.51637,0.11754,0.41272,4.61739,0.28822,0.41155,0.95469,0.00014837,0.00014837,0.00014837
7,435.084,0.45036,5.57346,0.27824,0.52481,1.04758,0.92122,0.91477,0.95195,0.87793,0.62023,0.59589,0.52563,0.12255,0.41541,4.6029,0.28989,0.41,0.961,0.000141044,0.000141044,0.000141044
8,499.143,0.45071,5.51192,0.27821,0.53026,1.04928,0.917,0.92293,0.95337,0.88183,0.61499,0.61049,0.54152,0.12318,0.40584,4.60012,0.28716,0.40836,0.95081,0.000133718,0.000133718,0.000133718
9,561.731,0.45227,5.54174,0.27815,0.51496,1.04948,0.9177,0.9159,0.95475,0.8821,0.63088,0.6149,0.55323,0.13146,0.41329,4.57695,0.28911,0.4103,0.9613,0.000126392,0.000126392,0.000126392
10,625.65,0.44968,5.50617,0.27755,0.51657,1.04487,0.91771,0.92761,0.95338,0.87704,0.61804,0.58506,0.5116,0.12203,0.41503,4.5935,0.28813,0.40499,0.96376,0.000119066,0.000119066,0.000119066
11,690.687,0.45366,5.4945,0.27871,0.51955,1.04777,0.91197,0.92415,0.95398,0.87788,0.64123,0.63863,0.56975,0.13238,0.41204,4.56725,0.28839,0.41211,0.95932,0.00011174,0.00011174,0.00011174
12,754.561,0.4498,5.51767,0.27576,0.51345,1.04621,0.90715,0.93345,0.95502,0.88132,0.62543,0.63095,0.56267,0.13436,0.41011,4.56647,0.28522,0.40909,0.95323,0.000104414,0.000104414,0.000104414
13,817.21,0.44917,5.48177,0.27409,0.51147,1.04277,0.90784,0.92116,0.95466,0.88219,0.63294,0.61391,0.5618,0.13155,0.41019,4.56873,0.28425,0.40114,0.95622,9.7088e-05,9.7088e-05,9.7088e-05
14,880.793,0.44957,5.45912,0.27339,0.52009,1.04724,0.9179,0.92764,0.95353,0.88081,0.61834,0.62482,0.54423,0.1328,0.40882,4.53797,0.28578,0.39756,0.95349,8.9762e-05,8.9762e-05,8.9762e-05
