epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,945.196,0.445,5.42374,0.27461,0.49635,1.04702,0.92117,0.91633,0.95166,0.87878,0.63189,0.62214,0.55677,0.13841,0.40874,4.53419,0.28746,0.40726,0.95375,8.2436e-05,8.2436e-05,8.2436e-05
16,1016.69,0.31605,4.09618,0.29242,0.26897,0.95942,0.90827,0.93736,0.95694,0.87876,0.6423,0.60836,0.55498,0.13181,0.4208,4.56188,0.28303,0.40655,0.97109,7.511e-05,7.511e-05,7.511e-05
17,1082.48,0.29843,4.01934,0.28955,0.25015,0.94222,0.9113,0.92655,0.95415,0.88295,0.63117,0.61058,0.55891,0.13923,0.41141,4.52321,0.2815,0.40502,0.96089,6.7784e-05,6.7784e-05,6.7784e-05
18,1147.62,0.29483,3.99361,0.28794,0.24368,0.94115,0.91782,0.92788,0.95242,0.88021,0.64122,0.62205,0.56786,0.13717,0.41033,4.5006,0.27889,0.4045,0.95987,6.0458e-05,6.0458e-05,6.0458e-05
19,1212.84,0.28976,3.95809,0.28585,0.2387,0.94219,0.91122,0.92045,0.95796,0.88683,0.64719,0.60796,0.57761,0.14433,0.40595,4.49549,0.27661,0.39566,0.95829,5.3132e-05,5.3132e-05,5.3132e-05
20,1276.09,0.28329,3.92616,0.28514,0.23091,0.93325,0.92338,0.9185,0.95527,0.88576,0.64441,0.62735,0.57341,0.14398,0.40426,4.50688,0.27799,0.39986,0.95678,4.5806e-05,4.5806e-05,4.5806e-05
21,1344.98,0.28163,3.89405,0.28365,0.22681,0.93296,0.90706,0.92821,0.95525,0.88858,0.64198,0.64359,0.59464,0.14672,0.39806,4.47971,0.27675,0.39546,0.95177,3.848e-05,3.848e-05,3.848e-05
22,1410.42,0.27806,3.89944,0.28205,0.22325,0.9266,0.90595,0.92847,0.9548,0.88557,0.64748,0.63964,0.5922,0.14839,0.4009,4.4679,0.27689,0.39739,0.95559,3.1154e-05,3.1154e-05,3.1154e-05
23,1474.51,0.27687,3.87366,0.28246,0.22077,0.92406,0.91741,0.91815,0.95767,0.88981,0.64867,0.64087,0.59907,0.15168,0.39949,4.4677,0.27655,0.39505,0.95162,2.3828e-05,2.3828e-05,2.3828e-05
24,1537.92,0.27712,3.86195,0.28187,0.22042,0.92149,0.92103,0.91551,0.95817,0.89236,0.65112,0.64163,0.60575,0.15475,0.39735,4.45408,0.27571,0.3923,0.95018,1.6502e-05,1.6502e-05,1.6502e-05
25,1600.93,0.27167,3.85014,0.28237,0.21844,0.92287,0.92948,0.9072,0.95697,0.89231,0.67218,0.64609,0.61271,0.15565,0.39601,4.45183,0.27556,0.38982,0.94943,9.176e-06,9.176e-06,9.176e-06
