epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7128,0,80.653,0,0,0,0,0,0,99.6695,0,1.25e-05,1.25e-05,1.25e-05
2,24.5262,0,80.5487,0,0,0,0,0,0,99.6309,0,3.37875e-05,3.37875e-05,3.37875e-05
3,36.9034,0,80.7041,0,0,0,0,0,0,99.5948,0,5.0125e-05,5.0125e-05,5.0125e-05
4,49.3717,0,79.8673,0,0,0,0,0,0,99.5503,0,6.15125e-05,6.15125e-05,6.15125e-05
5,64.0419,0,79.3319,0,0,0,0,0,0,99.4842,0,6.795e-05,6.795e-05,6.795e-05
6,77.4169,0,78.9167,0,0,0,0,0,0,99.3945,0,6.94375e-05,6.94375e-05,6.94375e-05
7,89.5922,0,78.5075,0,0,0,0,0,0,99.3154,0,6.5975e-05,6.5975e-05,6.5975e-05
8,101.969,0,77.9049,0,0,0,0,0,0,99.2557,0,5.75625e-05,5.75625e-05,5.75625e-05
9,114.228,0,77.4894,0,0,0,0,0,0,99.2291,0,4.42e-05,4.42e-05,4.42e-05
10,126.803,0,77.9295,0,0,0,0,0,0,99.1872,0,2.58875e-05,2.58875e-05,2.58875e-05
