epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.1419,0.44844,5.39368,0.27564,0.52646,1.04351,0.90848,0.9323,0.9588,0.89068,0.64735,0.63292,0.56497,0.13683,0.39553,4.49038,0.27757,0.38714,0.94055,6.15226e-05,6.15226e-05,6.15226e-05
2,128.749,0.43342,5.30984,0.2707,0.48891,1.03697,0.92412,0.89998,0.95556,0.88412,0.65427,0.61029,0.56266,0.13629,0.40703,4.51151,0.27982,0.40357,0.95186,0.000121563,0.000121563,0.000121563
3,190.575,0.43317,5.38154,0.27023,0.48914,1.03472,0.92329,0.90304,0.95339,0.88083,0.62117,0.59403,0.53054,0.12178,0.40887,4.60248,0.28024,0.40871,0.95696,0.000179976,0.000179976,0.000179976
4,251.764,0.44352,5.40799,0.27143,0.49682,1.04198,0.91958,0.92991,0.95417,0.87976,0.62167,0.59768,0.52567,0.11912,0.41609,4.62725,0.28342,0.40192,0.96048,0.000177674,0.000177674,0.000177674
5,313.127,0.44129,5.42912,0.27137,0.49945,1.04237,0.89567,0.93786,0.95451,0.87963,0.60321,0.63065,0.54589,0.12097,0.41128,4.64949,0.28333,0.40698,0.95341,0.000175232,0.000175232,0.000175232
6,375.414,0.44257,5.41383,0.27137,0.50439,1.04259,0.89609,0.92221,0.95528,0.87936,0.61328,0.62042,0.53216,0.11946,0.41458,4.64956,0.28298,0.4204,0.95662,0.00017279,0.00017279,0.00017279
7,437.549,0.43842,5.47705,0.27025,0.50224,1.04041,0.91341,0.91765,0.95309,0.87856,0.63372,0.59727,0.53983,0.1264,0.42059,4.61542,0.28388,0.42212,0.96378,0.000170348,0.000170348,0.000170348
8,501.595,0.43874,5.4127,0.2704,0.50025,1.04032,0.89916,0.91988,0.94912,0.87531,0.61053,0.6247,0.551,0.12507,0.41302,4.60767,0.28076,0.42256,0.95569,0.000167906,0.000167906,0.000167906
9,564.842,0.44283,5.46397,0.2708,0.49979,1.04326,0.9067,0.92564,0.95063,0.8748,0.62451,0.61342,0.54448,0.12533,0.41609,4.61178,0.2847,0.42777,0.96358,0.000165464,0.000165464,0.000165464
10,628.544,0.44315,5.43868,0.26995,0.50539,1.04021,0.91832,0.92633,0.95465,0.8793,0.6245,0.62909,0.55245,0.12589,0.4223,4.61979,0.28529,0.41308,0.96329,0.000163022,0.000163022,0.000163022
11,691.667,0.45056,5.43542,0.27246,0.50915,1.04472,0.90543,0.91865,0.95022,0.87551,0.6499,0.61908,0.56315,0.12722,0.41686,4.59616,0.2871,0.42035,0.96178,0.00016058,0.00016058,0.00016058
12,754.858,0.4454,5.47849,0.27007,0.50831,1.04298,0.89731,0.91373,0.94908,0.8745,0.64295,0.60608,0.56145,0.13045,0.41847,4.58017,0.28072,0.43333,0.95905,0.000158138,0.000158138,0.000158138
13,818.449,0.44488,5.46075,0.26824,0.50472,1.03951,0.88313,0.93916,0.95232,0.87909,0.59086,0.62753,0.54956,0.12495,0.41482,4.6203,0.28251,0.41865,0.957,0.000155696,0.000155696,0.000155696
14,882.847,0.45066,5.45584,0.26784,0.52056,1.04734,0.90905,0.92766,0.95029,0.87462,0.61811,0.59459,0.53105,0.12158,0.41931,4.61596,0.28213,0.41641,0.95958,0.000153254,0.000153254,0.000153254
