epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6614,0.44654,5.34106,0.26452,0.52774,1.04053,0.91182,0.93338,0.9573,0.89161,0.65857,0.65658,0.60119,0.14812,0.39366,4.46503,0.27087,0.38456,0.94366,6.15226e-05,6.15226e-05,6.15226e-05
2,130.364,0.42963,5.24719,0.25889,0.48033,1.0341,0.90517,0.91824,0.95525,0.8864,0.62523,0.63817,0.56943,0.13889,0.404,4.49915,0.27085,0.39397,0.95555,0.00012014,0.00012014,0.00012014
3,193.337,0.42773,5.29874,0.25776,0.47887,1.03032,0.9053,0.90755,0.95062,0.87828,0.62982,0.6226,0.56036,0.12998,0.40485,4.55051,0.27462,0.41575,0.95133,0.000175706,0.000175706,0.000175706
4,254.457,0.43587,5.31523,0.25906,0.48269,1.03736,0.91596,0.92208,0.95017,0.88283,0.63587,0.63466,0.56447,0.12549,0.40568,4.56524,0.27199,0.40739,0.95678,0.000171264,0.000171264,0.000171264
5,314.328,0.43293,5.31368,0.25909,0.4854,1.03635,0.91391,0.90342,0.95181,0.87705,0.62628,0.58702,0.53544,0.11817,0.41374,4.60813,0.27379,0.41739,0.96375,0.000166685,0.000166685,0.000166685
6,376.857,0.43282,5.30995,0.25997,0.47961,1.03568,0.88772,0.92672,0.95175,0.88223,0.64509,0.61544,0.55852,0.12453,0.40659,4.58461,0.2747,0.40781,0.95297,0.000162106,0.000162106,0.000162106
7,439.874,0.4283,5.35012,0.25835,0.47944,1.03328,0.92854,0.90732,0.9532,0.88134,0.64351,0.62576,0.5633,0.12849,0.41021,4.566,0.27532,0.40313,0.95896,0.000157528,0.000157528,0.000157528
8,504.983,0.43117,5.29001,0.25848,0.48301,1.0346,0.89761,0.91719,0.94918,0.87952,0.64616,0.62619,0.57621,0.13528,0.40625,4.56339,0.27318,0.41107,0.95775,0.000152949,0.000152949,0.000152949
9,570.407,0.43132,5.33609,0.2594,0.47513,1.0361,0.90042,0.92393,0.95132,0.88047,0.66824,0.64034,0.59034,0.13995,0.40879,4.55988,0.2784,0.41475,0.95929,0.00014837,0.00014837,0.00014837
10,630.626,0.43004,5.29949,0.25899,0.47988,1.03178,0.91614,0.92648,0.95344,0.88324,0.61721,0.62195,0.54623,0.12801,0.41394,4.58716,0.27648,0.40957,0.96479,0.000143791,0.000143791,0.000143791
11,694.168,0.4335,5.28477,0.26054,0.47966,1.03422,0.90548,0.90976,0.9473,0.87624,0.65317,0.62003,0.57319,0.13197,0.41425,4.55347,0.27886,0.41434,0.96113,0.000139212,0.000139212,0.000139212
12,759.39,0.4307,5.31942,0.25914,0.47795,1.03406,0.91567,0.90445,0.94872,0.87788,0.6598,0.62411,0.59211,0.13938,0.4117,4.55957,0.27398,0.41479,0.95448,0.000134634,0.000134634,0.000134634
13,822.938,0.43152,5.29749,0.2579,0.47681,1.03161,0.88054,0.92539,0.95132,0.88159,0.64391,0.60431,0.57399,0.13544,0.40468,4.54991,0.27372,0.41066,0.95082,0.000130055,0.000130055,0.000130055
14,887.864,0.43353,5.2766,0.25699,0.4879,1.03733,0.90105,0.92138,0.94987,0.88382,0.62589,0.63813,0.57572,0.14072,0.39737,4.53637,0.27492,0.4003,0.94071,0.000125476,0.000125476,0.000125476
