epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,952.608,0.43045,5.26333,0.25859,0.46632,1.03696,0.88846,0.93939,0.95239,0.88292,0.6212,0.65396,0.58564,0.14188,0.40136,4.53507,0.27616,0.40318,0.94472,0.000120897,0.000120897,0.000120897
16,1015.52,0.42953,5.31139,0.25661,0.48413,1.03656,0.90513,0.90902,0.95496,0.88422,0.66479,0.60874,0.58418,0.14343,0.41132,4.52043,0.2743,0.40569,0.95924,0.000116319,0.000116319,0.000116319
17,1079.95,0.43516,5.27369,0.25908,0.4809,1.03678,0.90209,0.92332,0.95659,0.8813,0.64844,0.63828,0.59196,0.1388,0.41531,4.53249,0.2745,0.40556,0.9566,0.00011174,0.00011174,0.00011174
18,1143.66,0.43512,5.2711,0.25908,0.48013,1.03475,0.90799,0.91997,0.9519,0.88081,0.64913,0.61751,0.57712,0.13965,0.40403,4.50919,0.27221,0.40803,0.95366,0.000107161,0.000107161,0.000107161
19,1207.25,0.43336,5.30621,0.25734,0.47683,1.0379,0.91672,0.91597,0.95066,0.88142,0.66536,0.63539,0.59026,0.14279,0.40246,4.5017,0.27506,0.40528,0.94972,0.000102582,0.000102582,0.000102582
20,1271.19,0.42984,5.32426,0.25899,0.47586,1.03514,0.91121,0.91844,0.95397,0.88301,0.66343,0.6408,0.58696,0.13981,0.40111,4.49359,0.27408,0.40515,0.95212,9.80038e-05,9.80038e-05,9.80038e-05
21,1334.83,0.43511,5.2942,0.25454,0.48317,1.03843,0.92614,0.91376,0.95658,0.88296,0.65011,0.63087,0.57932,0.14168,0.40478,4.50875,0.27649,0.40029,0.95308,9.3425e-05,9.3425e-05,9.3425e-05
22,1395.58,0.43112,5.26541,0.25778,0.47733,1.0345,0.9186,0.90763,0.95315,0.88295,0.68215,0.62897,0.59632,0.14449,0.40654,4.50686,0.275,0.40922,0.95636,8.88462e-05,8.88462e-05,8.88462e-05
23,1458.37,0.43094,5.27372,0.25769,0.47621,1.03593,0.91057,0.92928,0.9577,0.88581,0.67249,0.63098,0.59785,0.14121,0.4071,4.50029,0.27188,0.40255,0.95306,8.42675e-05,8.42675e-05,8.42675e-05
24,1523,0.43102,5.2355,0.25495,0.4763,1.03859,0.90797,0.92995,0.95586,0.88574,0.66877,0.65111,0.60627,0.14108,0.40023,4.49645,0.27484,0.40115,0.95235,7.96887e-05,7.96887e-05,7.96887e-05
25,1587.33,0.42649,5.23424,0.25731,0.47361,1.03413,0.9015,0.9266,0.95506,0.88653,0.6718,0.62767,0.60158,0.1432,0.40069,4.48982,0.2721,0.39634,0.95055,7.511e-05,7.511e-05,7.511e-05
26,1651.98,0.42837,5.23706,0.25495,0.47048,1.0309,0.91756,0.9275,0.95672,0.88655,0.66304,0.64368,0.60242,0.14492,0.40388,4.4871,0.27366,0.38849,0.95464,7.05312e-05,7.05312e-05,7.05312e-05
27,1714.91,0.42458,5.2134,0.25667,0.46983,1.0315,0.90614,0.93023,0.9557,0.88778,0.67332,0.63154,0.59002,0.14093,0.4041,4.48565,0.27351,0.39203,0.95184,6.59525e-05,6.59525e-05,6.59525e-05
28,1780.18,0.42854,5.18649,0.25587,0.477,1.03588,0.92023,0.91555,0.95469,0.88803,0.66148,0.64026,0.60005,0.14644,0.40251,4.47607,0.27302,0.39402,0.94922,6.13737e-05,6.13737e-05,6.13737e-05
29,1844.91,0.4251,5.23367,0.25504,0.467,1.03452,0.91141,0.91472,0.95529,0.88975,0.65488,0.62073,0.57519,0.14249,0.39993,4.46189,0.27325,0.40508,0.94643,5.6795e-05,5.6795e-05,5.6795e-05
30,1909.68,0.4293,5.24586,0.25561,0.46585,1.03443,0.91379,0.92492,0.95234,0.88653,0.66713,0.63713,0.60135,0.14485,0.40464,4.4779,0.2725,0.39923,0.95177,5.22163e-05,5.22163e-05,5.22163e-05
31,1981.37,0.29615,3.8948,0.27491,0.24496,0.9381,0.91889,0.90904,0.95082,0.87648,0.65794,0.64478,0.59389,0.14478,0.41386,4.48043,0.27136,0.41782,0.9676,4.76375e-05,4.76375e-05,4.76375e-05
32,2044.48,0.28129,3.81444,0.27282,0.22406,0.93248,0.9146,0.9151,0.95347,0.88419,0.66675,0.65003,0.60616,0.14937,0.41047,4.45196,0.26832,0.4041,0.96574,4.30587e-05,4.30587e-05,4.30587e-05
33,2112.14,0.27903,3.80525,0.27316,0.22632,0.92993,0.90577,0.92217,0.95175,0.88402,0.65393,0.65092,0.5999,0.15226,0.41074,4.44617,0.26899,0.40828,0.9648,3.848e-05,3.848e-05,3.848e-05
34,2177.91,0.2747,3.78694,0.27058,0.21532,0.92514,0.91385,0.90892,0.95207,0.88342,0.64924,0.64476,0.60095,0.15234,0.40685,4.45019,0.26854,0.41033,0.95768,3.39013e-05,3.39013e-05,3.39013e-05
35,2241.13,0.26934,3.75719,0.26899,0.21678,0.92315,0.91721,0.91299,0.95321,0.88683,0.66776,0.65682,0.61619,0.15572,0.40248,4.43263,0.26637,0.39931,0.95375,2.93225e-05,2.93225e-05,2.93225e-05
36,2305.49,0.27185,3.74991,0.27023,0.21668,0.92512,0.91775,0.90691,0.95046,0.88299,0.65961,0.64273,0.60202,0.15369,0.40035,4.43744,0.26664,0.40215,0.95524,2.47438e-05,2.47438e-05,2.47438e-05
37,2370.33,0.26609,3.73164,0.26867,0.21085,0.91804,0.91729,0.91252,0.95287,0.88543,0.66599,0.65529,0.61486,0.15648,0.40094,4.42646,0.26584,0.40201,0.95462,2.0165e-05,2.0165e-05,2.0165e-05
38,2434.23,0.26662,3.71386,0.26779,0.21711,0.91998,0.91576,0.91808,0.9528,0.88662,0.67288,0.66182,0.62273,0.15965,0.40239,4.42231,0.26621,0.40256,0.95732,1.55862e-05,1.55862e-05,1.55862e-05
39,2498.24,0.26507,3.70835,0.26749,0.20644,0.91488,0.91988,0.9135,0.95251,0.88432,0.67585,0.65816,0.61399,0.15944,0.40288,4.41799,0.26593,0.40246,0.95991,1.10075e-05,1.10075e-05,1.10075e-05
40,2563.45,0.26357,3.69883,0.2678,0.20413,0.91487,0.92161,0.91356,0.95341,0.88605,0.68045,0.66391,0.62282,0.15996,0.40305,4.41768,0.26581,0.40212,0.95909,6.42875e-06,6.42875e-06,6.42875e-06
