epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7384,0.89832,11.5284,0.67688,4.03455,1.42368,0.13566,0.26054,0.10043,0.07482,0,0,0,0,0.79019,11.3794,0.64891,2.77778,1.37158,6.15226e-05,6.15226e-05,6.15226e-05
2,126.253,0.79061,10.9792,0.57997,3.08718,1.33606,0.30938,0.35101,0.25503,0.20783,3e-05,0.00275,4e-05,1e-05,0.70585,10.1984,0.56201,2.17617,1.2917,9.87978e-05,9.87978e-05,9.87978e-05
3,187.796,0.73733,10.3767,0.51918,2.62568,1.28196,0.39897,0.38052,0.35132,0.28813,0.00011,0.00234,5e-05,1e-05,0.70033,9.41686,0.5421,1.97553,1.25705,0.000111653,0.000111653,0.000111653
4,250.402,0.71268,9.97958,0.49132,2.36179,1.2635,0.42612,0.50319,0.47017,0.3986,0.15388,0.00221,0.00039,4e-05,0.61757,8.93065,0.51282,1.67406,1.18065,7.511e-05,7.511e-05,7.511e-05
5,315.099,0.67815,9.73906,0.4777,2.17869,1.2356,0.56457,0.5118,0.53131,0.4556,0.25826,0.0044,0.00351,0.00035,0.57957,8.64784,0.5029,1.5075,1.14902,3.848e-05,3.848e-05,3.848e-05
