epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.940137,0.51877,0.72712,0.82244,0.98777,0.99946,0.995,0.91262,0.41826,0.56433,0.80079,1.25e-05,1.25e-05,1.25e-05
2,1.67189,0.44351,0.67961,0.79907,0.98784,0.99971,0.995,0.91635,0.42274,0.536,0.80074,3.67575e-05,3.67575e-05,3.67575e-05
3,2.43126,0.49218,0.72247,0.82446,0.99079,1,0.995,0.91488,0.43577,0.47583,0.80378,6.0025e-05,6.0025e-05,6.0025e-05
4,3.1874,0.45025,0.60328,0.82706,0.98493,0.99697,0.99476,0.91523,0.43311,0.46609,0.80283,8.23025e-05,8.23025e-05,8.23025e-05
5,3.91836,0.46137,0.58979,0.80762,0.978,0.98145,0.99231,0.89737,0.44926,0.49417,0.80535,0.00010359,0.00010359,0.00010359
6,4.59613,0.4312,0.58091,0.81656,0.95109,0.9436,0.98645,0.90082,0.45156,0.51723,0.80684,0.000123888,0.000123888,0.000123888
7,5.292,0.46442,0.60964,0.83678,0.95323,0.94677,0.98329,0.89216,0.45384,0.53577,0.80721,0.000143195,0.000143195,0.000143195
8,5.95355,0.50174,0.67105,0.81305,0.98806,0.96389,0.97904,0.90108,0.42992,0.52054,0.80279,0.000161513,0.000161513,0.000161513
9,6.61942,0.52263,0.60934,0.82051,0.98708,0.96957,0.98028,0.90738,0.41566,0.4933,0.80013,0.00017884,0.00017884,0.00017884
10,7.22231,0.49623,0.56538,0.8008,0.99617,0.97142,0.984,0.91119,0.41452,0.48642,0.79943,0.000195178,0.000195178,0.000195178
11,7.84949,0.49076,0.60568,0.79987,0.99198,0.97222,0.98654,0.92128,0.41837,0.46637,0.79993,0.000210525,0.000210525,0.000210525
12,8.49449,0.48033,0.55434,0.83268,0.98776,0.97211,0.99225,0.91292,0.42552,0.45663,0.80167,0.000224883,0.000224883,0.000224883
