epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,9.1282,0.46426,0.58278,0.81753,0.97248,0.97029,0.98654,0.89764,0.43364,0.45434,0.80341,0.00023825,0.00023825,0.00023825
14,9.73793,0.42449,0.57689,0.81457,0.97138,0.95621,0.97528,0.88368,0.43741,0.4661,0.80386,0.000250627,0.000250627,0.000250627
15,10.3796,0.51145,0.65662,0.81134,0.94906,0.95027,0.97172,0.88888,0.42214,0.47793,0.80126,0.000262015,0.000262015,0.000262015
16,11.0549,0.50197,0.59978,0.81424,0.94253,0.96468,0.9751,0.90394,0.41342,0.48561,0.80052,0.000272412,0.000272412,0.000272412
17,11.7712,0.46559,0.60828,0.79209,0.94404,0.97222,0.98573,0.90992,0.40726,0.48612,0.80022,0.00028182,0.00028182,0.00028182
18,12.4325,0.45652,0.55495,0.81724,0.94978,0.9907,0.995,0.91303,0.41712,0.4814,0.80199,0.000290237,0.000290237,0.000290237
19,13.0562,0.41359,0.52313,0.80645,0.96576,0.99634,0.995,0.91277,0.41217,0.47001,0.79986,0.000297665,0.000297665,0.000297665
20,13.7047,0.44008,0.5571,0.81845,0.98889,1,0.995,0.92516,0.40448,0.44939,0.79694,0.000304103,0.000304103,0.000304103
21,14.3619,0.42163,0.5381,0.80264,0.99536,0.99577,0.995,0.93327,0.39833,0.44154,0.79641,0.00030955,0.00030955,0.00030955
22,15.0134,0.42035,0.5419,0.82445,0.9942,0.9966,0.995,0.93545,0.39406,0.43102,0.79535,0.000314008,0.000314008,0.000314008
23,15.666,0.45888,0.60296,0.80534,0.99246,0.9994,0.995,0.93031,0.39489,0.42688,0.7961,0.000317475,0.000317475,0.000317475
24,16.3084,0.44549,0.56319,0.79853,0.99503,0.99734,0.995,0.92778,0.41942,0.43735,0.79941,0.000319953,0.000319953,0.000319953
25,16.9436,0.47296,0.57923,0.80984,0.99084,1,0.995,0.91839,0.42978,0.44722,0.80079,0.00032144,0.00032144,0.00032144
26,17.5991,0.45966,0.59034,0.81396,0.99133,0.99459,0.995,0.92465,0.41709,0.44872,0.79811,0.000321938,0.000321938,0.000321938
27,18.2491,0.47416,0.56477,0.8383,0.9894,0.99507,0.995,0.92308,0.40446,0.434,0.79717,0.000321445,0.000321445,0.000321445
28,18.8646,0.49697,0.56972,0.82019,0.9894,0.99507,0.995,0.92308,0.40446,0.434,0.79717,0.000319962,0.000319962,0.000319962
29,19.5148,0.46697,0.58293,0.82913,0.99492,1,0.995,0.92742,0.39691,0.4232,0.79516,0.00031749,0.00031749,0.00031749
30,20.1622,0.44626,0.55376,0.80947,0.99254,0.99912,0.995,0.93933,0.3961,0.41785,0.79538,0.000314028,0.000314028,0.000314028
31,20.7774,0.47463,0.52507,0.82353,0.99254,0.99912,0.995,0.93933,0.3961,0.41785,0.79538,0.000309575,0.000309575,0.000309575
32,21.4279,0.43703,0.55869,0.81158,0.99297,0.99901,0.995,0.93599,0.39763,0.41712,0.79709,0.000304132,0.000304132,0.000304132
33,22.0802,0.4741,0.65282,0.80871,0.99573,1,0.995,0.92353,0.41009,0.41229,0.79967,0.0002977,0.0002977,0.0002977
34,22.6944,0.46873,0.53438,0.81248,0.99573,1,0.995,0.92353,0.41009,0.41229,0.79967,0.000290277,0.000290277,0.000290277
35,23.358,0.47132,0.58471,0.81815,0.99462,0.99171,0.995,0.92665,0.40618,0.41541,0.79793,0.000281865,0.000281865,0.000281865
36,24.043,0.43021,0.53379,0.81953,0.98032,0.98232,0.995,0.93214,0.39205,0.4195,0.79365,0.000272463,0.000272463,0.000272463
37,24.674,0.49489,0.55039,0.81985,0.98032,0.98232,0.995,0.93214,0.39205,0.4195,0.79365,0.00026207,0.00026207,0.00026207
38,25.3097,0.46106,0.54751,0.81181,0.97228,0.98099,0.995,0.93742,0.38393,0.42011,0.79214,0.000250687,0.000250687,0.000250687
39,25.9657,0.47518,0.56522,0.80506,0.97342,0.98175,0.995,0.93719,0.37237,0.41569,0.79102,0.000238315,0.000238315,0.000238315
40,26.6132,0.4554,0.51921,0.81443,0.97342,0.98175,0.995,0.93719,0.37237,0.41569,0.79102,0.000224952,0.000224952,0.000224952
41,27.6864,0.46596,0.68699,0.81388,0.98487,0.99716,0.995,0.9323,0.36884,0.40292,0.79079,0.0002106,0.0002106,0.0002106
42,28.4332,0.48314,0.68225,0.81043,0.98294,0.99716,0.995,0.93579,0.37102,0.41143,0.79144,0.000195258,0.000195258,0.000195258
43,29.0639,0.42731,0.58131,0.80263,0.98294,0.99716,0.995,0.93579,0.37102,0.41143,0.79144,0.000178925,0.000178925,0.000178925
44,29.6847,0.42128,0.58708,0.82617,0.97722,0.99823,0.995,0.93177,0.38176,0.43827,0.79316,0.000161603,0.000161603,0.000161603
45,30.3154,0.42051,0.56177,0.81067,0.97722,0.99823,0.995,0.93177,0.38176,0.43827,0.79316,0.00014329,0.00014329,0.00014329
46,30.9773,0.44819,0.58118,0.81716,0.97717,0.9924,0.995,0.93229,0.37898,0.45661,0.79326,0.000123987,0.000123987,0.000123987
47,31.6748,0.44607,0.56035,0.81537,0.97717,0.9924,0.995,0.93229,0.37898,0.45661,0.79326,0.000103695,0.000103695,0.000103695
48,32.39,0.46998,0.54363,0.80167,0.97884,0.9922,0.995,0.93693,0.36883,0.4687,0.79091,8.24125e-05,8.24125e-05,8.24125e-05
49,33.021,0.40795,0.53328,0.82381,0.97884,0.9922,0.995,0.93693,0.36883,0.4687,0.79091,6.014e-05,6.014e-05,6.014e-05
50,33.6413,0.45179,0.58993,0.8093,0.98042,0.99134,0.995,0.94083,0.36125,0.46623,0.78978,3.68775e-05,3.68775e-05,3.68775e-05
