epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.9696,0.66391,9.60715,0.47091,2.08328,1.21887,0.53655,0.55124,0.54605,0.4614,0.18671,0.00326,0.00063,9e-05,0.61383,8.54295,0.4834,1.48559,1.1812,6.15226e-05,6.15226e-05,6.15226e-05
2,129.262,0.65819,9.50788,0.45668,1.97965,1.21438,0.57389,0.54776,0.56597,0.47395,0.06498,0.00433,0.00108,0.00019,0.60916,8.42682,0.47356,1.47055,1.18331,0.000118311,0.000118311,0.000118311
3,191.206,0.66533,9.40771,0.44303,1.87886,1.21203,0.58601,0.58366,0.6231,0.51897,0.07313,0.01294,0.00761,0.00088,0.64651,8.26684,0.45633,1.3879,1.19891,0.000170215,0.000170215,0.000170215
4,254.352,0.67614,9.23575,0.42894,1.77091,1.22047,0.58388,0.63503,0.63367,0.52945,0.24945,0.0059,0.00366,0.00041,0.61717,8.06414,0.44037,1.2976,1.17165,0.000163022,0.000163022,0.000163022
5,318.44,0.67007,9.10626,0.42113,1.68014,1.21502,0.65177,0.64148,0.69348,0.57711,0.1114,0.02521,0.01031,0.00145,0.61179,7.77721,0.42824,1.21806,1.16412,0.000155696,0.000155696,0.000155696
6,380.132,0.66829,8.98728,0.41353,1.63094,1.21436,0.6014,0.71682,0.70462,0.59455,0.112,0.02211,0.00838,0.00106,0.5913,7.65833,0.42714,1.16066,1.14807,0.00014837,0.00014837,0.00014837
7,443.692,0.64894,8.86356,0.40545,1.54657,1.1992,0.73402,0.64604,0.74706,0.64287,0.08831,0.02716,0.00865,0.001,0.55632,7.48402,0.41722,1.06652,1.11609,0.000141044,0.000141044,0.000141044
8,509.268,0.63761,8.71668,0.40317,1.48144,1.19096,0.77014,0.66123,0.75945,0.64762,0.11029,0.0366,0.01731,0.00204,0.57225,7.37739,0.40949,1.01355,1.12351,0.000133718,0.000133718,0.000133718
9,574.443,0.63506,8.62861,0.39657,1.42306,1.18573,0.74499,0.68627,0.76723,0.65601,0.11603,0.04035,0.02017,0.00279,0.55843,7.25069,0.40229,0.97493,1.11582,0.000126392,0.000126392,0.000126392
10,639.684,0.63275,8.50536,0.39059,1.39002,1.18285,0.72643,0.7179,0.7839,0.67232,0.08258,0.05326,0.02648,0.0041,0.55224,7.12737,0.39599,0.93422,1.11337,0.000119066,0.000119066,0.000119066
11,704.973,0.62872,8.45242,0.38744,1.36246,1.17807,0.74324,0.75541,0.80914,0.69619,0.10824,0.06684,0.02559,0.00362,0.54799,6.9683,0.3908,0.88132,1.1037,0.00011174,0.00011174,0.00011174
12,769.785,0.62027,8.38497,0.38388,1.30878,1.17336,0.68899,0.77994,0.81996,0.70749,0.16712,0.07743,0.04091,0.00597,0.53489,6.9419,0.38698,0.87096,1.08986,0.000104414,0.000104414,0.000104414
13,836.652,0.61392,8.28059,0.37994,1.27228,1.16688,0.74543,0.76884,0.83126,0.72307,0.10378,0.07659,0.03151,0.00402,0.53423,6.84557,0.38145,0.84201,1.08963,9.7088e-05,9.7088e-05,9.7088e-05
14,901.461,0.60755,8.24652,0.37602,1.27565,1.16575,0.80113,0.7466,0.83355,0.73137,0.12793,0.09188,0.04783,0.00749,0.52783,6.80032,0.38399,0.81943,1.07965,8.9762e-05,8.9762e-05,8.9762e-05
15,968.534,0.59131,8.14746,0.37386,1.21254,1.15533,0.74687,0.81283,0.85633,0.74752,0.14425,0.10172,0.04988,0.00653,0.51893,6.70626,0.37479,0.78821,1.07314,8.2436e-05,8.2436e-05,8.2436e-05
16,1037.78,0.49958,6.90391,0.38208,0.90495,1.12984,0.81803,0.76309,0.84106,0.72983,0.15914,0.10547,0.0561,0.0083,0.53485,6.69206,0.35408,0.80382,1.09213,7.511e-05,7.511e-05,7.511e-05
17,1102.8,0.47254,6.74423,0.37016,0.82649,1.10065,0.78002,0.79848,0.86099,0.75287,0.17539,0.11332,0.07099,0.00915,0.50118,6.59499,0.34755,0.76659,1.05226,6.7784e-05,6.7784e-05,6.7784e-05
18,1170.99,0.45264,6.66129,0.36799,0.77413,1.08507,0.75582,0.83332,0.85872,0.75834,0.22359,0.1086,0.06978,0.01036,0.48442,6.50522,0.34415,0.73521,1.03863,6.0458e-05,6.0458e-05,6.0458e-05
19,1236.45,0.44026,6.58847,0.36531,0.7475,1.079,0.79578,0.79457,0.87557,0.77846,0.18267,0.13421,0.07404,0.01029,0.47844,6.42719,0.34111,0.71479,1.03695,5.3132e-05,5.3132e-05,5.3132e-05
20,1299.68,0.43127,6.4847,0.36233,0.70987,1.06755,0.80097,0.82118,0.8792,0.78384,0.16271,0.14894,0.0887,0.01352,0.46847,6.39433,0.33945,0.69881,1.02256,4.5806e-05,4.5806e-05,4.5806e-05
21,1368.56,0.4247,6.40036,0.35946,0.68269,1.06145,0.82096,0.81292,0.87288,0.77775,0.21935,0.16455,0.10178,0.01516,0.4626,6.32845,0.33736,0.69191,1.01829,3.848e-05,3.848e-05,3.848e-05
22,1434.74,0.41847,6.35682,0.35681,0.66907,1.05235,0.82291,0.8008,0.87645,0.7871,0.18887,0.16526,0.09948,0.01536,0.45699,6.29497,0.33613,0.67324,1.01412,3.1154e-05,3.1154e-05,3.1154e-05
23,1498.86,0.40671,6.29963,0.35543,0.65201,1.03951,0.82463,0.81714,0.89333,0.80036,0.24379,0.16393,0.10623,0.01643,0.45673,6.25743,0.33448,0.66131,1.01,2.3828e-05,2.3828e-05,2.3828e-05
