epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.17821,1.18295,4.3933,1.33686,0,0,0,0,1.90179,4.29627,1.69587,1.25e-05,1.25e-05,1.25e-05
2,1.90454,1.41476,4.41344,1.4432,0,0,0,0,1.88774,4.2955,1.69092,3.67575e-05,3.67575e-05,3.67575e-05
3,2.53583,1.33617,4.38741,1.43599,0,0,0,0,1.37709,4.26509,1.48756,6.0025e-05,6.0025e-05,6.0025e-05
4,3.22367,0.81877,4.23721,1.12157,0,0,0,0,0.79246,4.15751,1.06581,8.23025e-05,8.23025e-05,8.23025e-05
5,3.88939,0.71688,4.13009,0.89722,0,0,0,0,0.63293,3.87486,0.85721,0.00010359,0.00010359,0.00010359
6,4.55037,0.63817,3.89796,0.85286,0,0,0,0,0.61742,3.77689,0.82359,0.000123888,0.000123888,0.000123888
7,5.21512,0.64562,3.73917,0.84744,0,0,0,0,0.61179,3.76131,0.81651,0.000143195,0.000143195,0.000143195
8,5.961,0.63792,3.67941,0.81897,0,0,0,0,0.59007,3.70888,0.81101,0.000161513,0.000161513,0.000161513
9,6.65506,0.71265,3.53371,0.83825,0.00011,0.02778,0.00012,2e-05,0.58865,3.66736,0.81082,0.00017884,0.00017884,0.00017884
10,7.30376,0.66854,3.45021,0.81409,0.00044,0.03111,0.00078,0.00074,0.58099,3.60648,0.80812,0.000195178,0.000195178,0.000195178
11,7.95402,0.63843,3.3666,0.82536,0.00202,0.07222,0.01402,0.01301,0.57828,3.53285,0.80788,0.000210525,0.000210525,0.000210525
12,8.60556,0.61742,3.17165,0.84049,0.0162,0.20222,0.0837,0.07185,0.58269,3.44477,0.81017,0.000224883,0.000224883,0.000224883
13,9.27091,0.63305,3.12412,0.83856,0.02684,0.34333,0.17424,0.14632,0.58381,3.34625,0.81362,0.00023825,0.00023825,0.00023825
14,9.9072,0.59494,2.9346,0.84443,0.02641,0.41889,0.1948,0.16239,0.57719,3.22718,0.81311,0.000250627,0.000250627,0.000250627
15,10.5321,0.7047,2.87877,0.83678,0.02855,0.58056,0.23007,0.18903,0.57126,3.08967,0.812,0.000262015,0.000262015,0.000262015
16,11.167,0.7223,2.68091,0.8544,0.91944,0.15667,0.26222,0.21239,0.57148,2.94096,0.81246,0.000272412,0.000272412,0.000272412
