epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.02134,0.38407,0.46023,0.80354,0.99674,1,0.995,0.96692,0.28219,0.31848,0.77455,1.25e-05,1.25e-05,1.25e-05
2,2.12201,0.3416,0.44315,0.78247,0.99636,1,0.995,0.96872,0.28884,0.31327,0.77583,3.73144e-05,3.73144e-05,3.73144e-05
3,3.04754,0.34514,0.45122,0.80258,0.99668,1,0.995,0.95792,0.29773,0.30463,0.77633,6.18813e-05,6.18813e-05,6.18813e-05
4,3.72265,0.32879,0.40672,0.80162,0.99623,1,0.995,0.95106,0.3016,0.29903,0.77663,8.62006e-05,8.62006e-05,8.62006e-05
5,4.41266,0.34026,0.40349,0.79004,0.99644,1,0.995,0.95411,0.31128,0.32805,0.77698,0.000110272,0.000110272,0.000110272
6,5.06629,0.30745,0.38223,0.79661,0.99511,0.99789,0.995,0.96182,0.31605,0.34705,0.77867,0.000134097,0.000134097,0.000134097
7,5.76353,0.34661,0.41566,0.81655,0.99556,0.99455,0.995,0.94834,0.34868,0.39125,0.78445,0.000157674,0.000157674,0.000157674
8,6.45586,0.3775,0.43853,0.79055,0.99005,0.99231,0.995,0.96077,0.31404,0.37479,0.77885,0.000181003,0.000181003,0.000181003
9,7.11899,0.40921,0.43795,0.79618,0.99213,0.99293,0.995,0.95156,0.31807,0.38112,0.77935,0.000204085,0.000204085,0.000204085
10,7.75618,0.42404,0.41817,0.78773,0.99485,0.99867,0.995,0.9475,0.31926,0.36924,0.77907,0.000226919,0.000226919,0.000226919
11,8.39289,0.40729,0.43495,0.78773,0.99351,0.99972,0.995,0.95658,0.32319,0.3551,0.78001,0.000249506,0.000249506,0.000249506
12,9.01519,0.35739,0.41772,0.80974,0.99444,0.99604,0.995,0.94873,0.33673,0.34383,0.7822,0.000271846,0.000271846,0.000271846
13,9.65346,0.36644,0.42268,0.80235,0.99472,0.99475,0.995,0.94276,0.34239,0.32886,0.78417,0.000293937,0.000293937,0.000293937
14,10.2883,0.32563,0.40899,0.80148,0.99614,1,0.995,0.93904,0.33886,0.32375,0.7838,0.000315782,0.000315782,0.000315782
15,10.9508,0.40935,0.46471,0.79655,0.99635,1,0.995,0.9508,0.33437,0.32591,0.78172,0.000337379,0.000337379,0.000337379
16,11.6226,0.4123,0.44774,0.79736,0.99609,1,0.995,0.95494,0.3171,0.33708,0.77919,0.000358728,0.000358728,0.000358728
17,12.2639,0.37879,0.44585,0.78007,0.99623,1,0.995,0.95703,0.30768,0.33684,0.77909,0.00037983,0.00037983,0.00037983
18,12.9325,0.36956,0.41496,0.80183,0.99615,1,0.995,0.96314,0.30658,0.33534,0.77963,0.000400684,0.000400684,0.000400684
19,13.6291,0.30303,0.39245,0.78248,0.99611,1,0.995,0.94957,0.32808,0.32995,0.78129,0.000421291,0.000421291,0.000421291
20,14.3066,0.34275,0.41864,0.80157,0.99579,1,0.995,0.94601,0.33798,0.33225,0.78234,0.000441651,0.000441651,0.000441651
21,14.9934,0.33756,0.40351,0.78527,0.99662,0.99895,0.995,0.953,0.32759,0.33531,0.7806,0.000461763,0.000461763,0.000461763
22,15.6152,0.34976,0.42099,0.80764,0.98995,0.99821,0.995,0.94825,0.36237,0.34028,0.78422,0.000481627,0.000481627,0.000481627
23,16.2557,0.40381,0.44437,0.79515,0.99454,0.99511,0.995,0.94609,0.3589,0.34666,0.7838,0.000501244,0.000501244,0.000501244
24,16.9069,0.4134,0.42875,0.79152,0.9949,0.99581,0.995,0.94713,0.35715,0.34566,0.78333,0.000520613,0.000520613,0.000520613
25,17.5167,0.42638,0.45482,0.79941,0.99195,0.99676,0.995,0.92011,0.40424,0.37496,0.79775,0.000539735,0.000539735,0.000539735
26,18.1234,0.41469,0.46366,0.80925,0.98872,0.99282,0.995,0.92041,0.41281,0.37132,0.80136,0.000558609,0.000558609,0.000558609
27,18.7795,0.46872,0.47277,0.83994,0.94652,0.96517,0.99371,0.94146,0.35708,0.37309,0.78672,0.000577236,0.000577236,0.000577236
28,19.4295,0.42118,0.47791,0.80063,0.94652,0.96517,0.99371,0.94146,0.35708,0.37309,0.78672,0.000595616,0.000595616,0.000595616
29,20.0961,0.40886,0.52815,0.81039,0.96153,0.98721,0.99453,0.95005,0.34567,0.35696,0.78362,0.000613747,0.000613747,0.000613747
30,20.7434,0.41843,0.4392,0.80515,0.99054,0.99383,0.995,0.9455,0.35539,0.34618,0.78461,0.000631632,0.000631632,0.000631632
31,21.365,0.43574,0.44864,0.81574,0.99054,0.99383,0.995,0.9455,0.35539,0.34618,0.78461,0.000649269,0.000649269,0.000649269
32,21.9927,0.37917,0.47369,0.80304,0.98828,0.99456,0.99476,0.94309,0.34974,0.35434,0.78571,0.000666658,0.000666658,0.000666658
33,22.6305,0.40727,0.51195,0.79968,0.98147,0.99042,0.995,0.93896,0.37494,0.36072,0.79039,0.0006838,0.0006838,0.0006838
34,23.2844,0.44984,0.46362,0.80561,0.98147,0.99042,0.995,0.93896,0.37494,0.36072,0.79039,0.000700694,0.000700694,0.000700694
35,23.9164,0.42907,0.47616,0.81103,0.97739,0.96892,0.99225,0.95243,0.36466,0.38129,0.78736,0.000717341,0.000717341,0.000717341
