epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.9355,0.59889,8.07335,0.37883,1.21745,1.15215,0.77101,0.75597,0.83479,0.73152,0.07,0.05138,0.0237,0.00338,0.51772,6.94261,0.35127,0.84878,1.07075,0.00332555,0.00332555,0.00332555
2,127.237,0.65082,8.52608,0.38171,1.326,1.19066,0.66996,0.66925,0.74678,0.60569,0.05519,0.01752,0.0067,0.00075,0.66645,7.48813,0.35981,1.16519,1.22451,0.00664485,0.00664485,0.00664485
3,187.779,0.78207,9.04993,0.39893,1.61448,1.27551,0.47122,0.47429,0.48952,0.33338,0.06501,0.00617,0.00103,0.00013,1.09347,8.48495,0.44194,1.99084,1.74134,0.00995012,0.00995012,0.00995012
4,250.975,0.89524,9.32661,0.41528,1.84533,1.35933,0.5799,0.53054,0.56679,0.4087,0.04228,0.01228,0.00337,0.00043,0.95461,8.44203,0.43144,1.60346,1.54562,0.00993681,0.00993681,0.00993681
5,313.011,0.89096,9.23087,0.41531,1.79199,1.3488,0.66687,0.5639,0.63263,0.46805,0.04044,0.00967,0.00329,0.0004,0.87402,8.09221,0.42974,1.41607,1.45182,0.00991574,0.00991574,0.00991574
6,375.598,0.86712,9.11262,0.41475,1.71474,1.33529,0.66114,0.59894,0.65951,0.50417,0.05795,0.02398,0.00698,0.00087,0.823,7.8475,0.41075,1.32655,1.38747,0.00989468,0.00989468,0.00989468
7,439.269,0.83563,8.98233,0.41221,1.63558,1.31034,0.59395,0.59678,0.61951,0.47757,0.03625,0.03989,0.01399,0.00211,0.77392,7.7337,0.42479,1.43018,1.34975,0.00987362,0.00987362,0.00987362
8,500.074,0.8194,8.86292,0.41337,1.58278,1.29874,0.61417,0.69018,0.72127,0.56033,0.02079,0.02278,0.00739,0.00084,0.78155,7.62875,0.40204,1.18,1.32777,0.00985255,0.00985255,0.00985255
9,563.439,0.81324,8.78805,0.41113,1.539,1.29557,0.61365,0.64134,0.66258,0.48599,0.06243,0.02211,0.00812,0.00119,0.98433,7.8536,0.43472,1.31255,1.60585,0.00983149,0.00983149,0.00983149
10,627.565,0.81091,8.69206,0.40701,1.513,1.28858,0.63658,0.51807,0.59217,0.4416,0.0735,0.02966,0.01513,0.00218,0.96053,7.78348,0.44198,1.55327,1.60759,0.00981043,0.00981043,0.00981043
11,689.988,0.79908,8.64023,0.40552,1.4858,1.27841,0.68677,0.7186,0.76089,0.60832,0.08584,0.05078,0.01605,0.00214,0.73374,7.36202,0.41556,1.04146,1.29481,0.00978936,0.00978936,0.00978936
12,752.629,0.7839,8.56849,0.40266,1.41617,1.2689,0.66681,0.71838,0.77596,0.63069,0.06958,0.06324,0.02784,0.0039,0.70208,7.23863,0.41491,0.98454,1.25103,0.0097683,0.0097683,0.0097683
13,816.637,0.76936,8.47235,0.40091,1.38566,1.25631,0.7054,0.71488,0.78049,0.63534,0.11855,0.0601,0.02783,0.00392,0.69546,7.13481,0.40303,1.03884,1.24353,0.00974723,0.00974723,0.00974723
14,879.614,0.77086,8.45069,0.40107,1.38541,1.25985,0.70363,0.73596,0.79399,0.63441,0.13152,0.06502,0.03276,0.00471,0.74641,7.14468,0.39795,1.0042,1.31779,0.00972617,0.00972617,0.00972617
