epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.960461,0.48197,0.58196,0.81487,0.98219,0.99085,0.995,0.9417,0.35959,0.46181,0.78992,1.25e-05,1.25e-05,1.25e-05
2,1.66102,0.39626,0.54911,0.79271,0.97863,0.99274,0.995,0.9404,0.35569,0.45588,0.78868,3.71287e-05,3.71287e-05,3.71287e-05
3,2.43174,0.40691,0.57349,0.81169,0.98806,0.9931,0.995,0.93664,0.36148,0.43046,0.78889,6.12625e-05,6.12625e-05,6.12625e-05
4,3.16853,0.37898,0.50557,0.81054,0.99503,0.99737,0.995,0.9211,0.39952,0.40709,0.79602,8.49012e-05,8.49012e-05,8.49012e-05
5,3.89004,0.40639,0.49974,0.79861,0.99359,0.99848,0.995,0.90859,0.41915,0.40745,0.7984,0.000108045,0.000108045,0.000108045
6,4.57485,0.37273,0.48126,0.80565,0.99264,0.99066,0.995,0.93426,0.39175,0.40979,0.79384,0.000130694,0.000130694,0.000130694
7,5.29359,0.43629,0.5092,0.83342,0.98848,0.98287,0.99476,0.92553,0.39356,0.44172,0.79443,0.000152847,0.000152847,0.000152847
8,5.99851,0.42952,0.53474,0.80121,0.98561,0.98107,0.995,0.92369,0.40848,0.45397,0.79513,0.000174506,0.000174506,0.000174506
9,6.65472,0.48028,0.52452,0.81144,0.99032,0.99122,0.995,0.92918,0.39561,0.4425,0.7941,0.00019567,0.00019567,0.00019567
10,7.35874,0.46543,0.50558,0.79785,0.99548,0.99646,0.995,0.93571,0.39049,0.43731,0.79446,0.000216339,0.000216339,0.000216339
11,8.0504,0.45084,0.50951,0.79329,0.99677,1,0.995,0.93999,0.38401,0.41988,0.79283,0.000236513,0.000236513,0.000236513
12,8.72718,0.42052,0.49764,0.82246,0.99708,1,0.995,0.92553,0.39089,0.40024,0.79289,0.000256191,0.000256191,0.000256191
13,9.44316,0.42993,0.50835,0.81076,0.99676,1,0.995,0.93168,0.39534,0.39188,0.79526,0.000275375,0.000275375,0.000275375
14,10.125,0.39568,0.4992,0.81177,0.99592,1,0.995,0.92574,0.3923,0.39254,0.79686,0.000294064,0.000294064,0.000294064
15,10.7485,0.44237,0.52552,0.80214,0.99576,1,0.995,0.92652,0.38337,0.41087,0.79406,0.000312257,0.000312257,0.000312257
16,11.433,0.48172,0.52832,0.8091,0.99551,1,0.995,0.92614,0.38257,0.40884,0.79397,0.000329956,0.000329956,0.000329956
17,12.1855,0.43891,0.51621,0.78797,0.99203,0.99941,0.995,0.92767,0.39473,0.43994,0.79483,0.00034716,0.00034716,0.00034716
18,12.8292,0.44115,0.52247,0.81142,0.96016,0.99384,0.99419,0.93174,0.40557,0.47813,0.79491,0.000363869,0.000363869,0.000363869
19,13.4895,0.39216,0.48684,0.79902,0.94362,0.98849,0.9912,0.92202,0.4189,0.51135,0.7993,0.000380083,0.000380083,0.000380083
20,14.1505,0.40844,0.51797,0.81504,0.91238,0.97544,0.98922,0.91498,0.4159,0.53438,0.79874,0.000395801,0.000395801,0.000395801
21,14.7987,0.39828,0.50709,0.8,0.90049,0.98269,0.98979,0.90851,0.44044,0.52516,0.79985,0.000411025,0.000411025,0.000411025
22,15.4409,0.39319,0.49729,0.81886,0.95887,0.99167,0.99303,0.93263,0.39384,0.47192,0.79071,0.000425754,0.000425754,0.000425754
23,16.1193,0.42514,0.54041,0.7995,0.99127,1,0.995,0.93388,0.38593,0.416,0.79063,0.000439988,0.000439988,0.000439988
24,16.8862,0.42945,0.5051,0.79565,0.99499,0.99975,0.995,0.91968,0.41443,0.4011,0.7956,0.000453726,0.000453726,0.000453726
25,17.6382,0.45034,0.50547,0.80895,0.99481,1,0.995,0.93408,0.3838,0.38952,0.78895,0.00046697,0.00046697,0.00046697
26,18.3411,0.48724,0.53856,0.81571,0.99441,1,0.995,0.92727,0.42338,0.39323,0.79495,0.000479719,0.000479719,0.000479719
27,19.02,0.49708,0.51491,0.83643,0.98915,0.99842,0.995,0.91505,0.45857,0.40989,0.80324,0.000491972,0.000491972,0.000491972
28,19.647,0.56541,0.58018,0.82496,0.98915,0.99842,0.995,0.91505,0.45857,0.40989,0.80324,0.000503731,0.000503731,0.000503731
29,20.4059,0.51292,0.55088,0.8363,0.98912,0.98363,0.995,0.92294,0.42133,0.40229,0.79553,0.000514995,0.000514995,0.000514995
30,21.1703,0.44327,0.55173,0.80865,0.97985,0.99209,0.995,0.93174,0.41685,0.4067,0.79455,0.000525764,0.000525764,0.000525764
31,21.887,0.50087,0.5117,0.82751,0.97985,0.99209,0.995,0.93174,0.41685,0.4067,0.79455,0.000536038,0.000536038,0.000536038
32,22.5576,0.46618,0.5287,0.81325,0.99263,0.99986,0.995,0.93268,0.41033,0.39857,0.79303,0.000545816,0.000545816,0.000545816
33,23.2326,0.50151,0.61394,0.80737,0.99297,0.9983,0.995,0.92971,0.40978,0.40064,0.79619,0.0005551,0.0005551,0.0005551
34,23.9836,0.47569,0.51984,0.81487,0.99297,0.9983,0.995,0.92971,0.40978,0.40064,0.79619,0.000563889,0.000563889,0.000563889
35,24.6778,0.47293,0.55868,0.82151,0.99112,0.99998,0.995,0.91669,0.43611,0.41082,0.79755,0.000572182,0.000572182,0.000572182
36,25.3234,0.46159,0.54537,0.82589,0.99201,0.99756,0.995,0.91598,0.41845,0.38629,0.79526,0.000579981,0.000579981,0.000579981
37,25.9756,0.47697,0.55493,0.81437,0.99201,0.99756,0.995,0.91598,0.41845,0.38629,0.79526,0.000587285,0.000587285,0.000587285
38,26.7261,0.44313,0.54597,0.80713,0.99223,0.9941,0.995,0.92291,0.39355,0.3846,0.79227,0.000594094,0.000594094,0.000594094
39,27.4251,0.476,0.54105,0.80357,0.98235,0.99773,0.995,0.93082,0.40849,0.39719,0.79364,0.000600408,0.000600408,0.000600408
40,28.233,0.46956,0.50038,0.81543,0.98235,0.99773,0.995,0.93082,0.40849,0.39719,0.79364,0.000606226,0.000606226,0.000606226
41,29.4582,0.44968,0.49157,0.79122,0.97202,0.9941,0.995,0.93497,0.40621,0.40044,0.7934,0.00061155,0.00061155,0.00061155
42,30.3284,0.52422,0.61814,0.80864,0.97705,0.99501,0.995,0.92848,0.41023,0.3892,0.79553,0.000616379,0.000616379,0.000616379
43,31.0196,0.4373,0.51087,0.81,0.97705,0.99501,0.995,0.92848,0.41023,0.3892,0.79553,0.000620713,0.000620713,0.000620713
44,31.6884,0.42822,0.52379,0.81179,0.98983,0.99258,0.995,0.92772,0.39941,0.38835,0.79368,0.000624551,0.000624551,0.000624551
45,32.3168,0.4119,0.50806,0.79919,0.98983,0.99258,0.995,0.92772,0.39941,0.38835,0.79368,0.000627895,0.000627895,0.000627895
46,32.9715,0.50136,0.5712,0.8323,0.96306,0.96668,0.9921,0.9301,0.37673,0.41192,0.78897,0.000630744,0.000630744,0.000630744
47,33.5825,0.46906,0.59765,0.80961,0.96306,0.96668,0.9921,0.9301,0.37673,0.41192,0.78897,0.000633098,0.000633098,0.000633098
48,34.2347,0.47485,0.56248,0.80845,0.99457,0.99009,0.995,0.93824,0.37003,0.36061,0.79018,0.000634956,0.000634956,0.000634956
49,34.8554,0.46517,0.52898,0.81363,0.99457,0.99009,0.995,0.93824,0.37003,0.36061,0.79018,0.00063632,0.00063632,0.00063632
50,35.4888,0.443,0.50151,0.80879,0.99261,0.99288,0.995,0.93398,0.38203,0.37075,0.79145,0.000637189,0.000637189,0.000637189
51,36.1174,0.43613,0.47555,0.81315,0.99261,0.99288,0.995,0.93398,0.38203,0.37075,0.79145,0.00063125,0.00063125,0.00063125
52,36.7905,0.45203,0.53789,0.83171,0.9912,0.99345,0.995,0.93951,0.36376,0.38321,0.78917,0.000618875,0.000618875,0.000618875
53,37.4086,0.46065,0.53405,0.8152,0.9912,0.99345,0.995,0.93951,0.36376,0.38321,0.78917,0.0006065,0.0006065,0.0006065
54,38.0568,0.47924,0.507,0.80004,0.99096,0.98845,0.995,0.94045,0.36456,0.38997,0.7889,0.000594125,0.000594125,0.000594125
55,38.7046,0.44361,0.51137,0.82723,0.99096,0.98845,0.995,0.94045,0.36456,0.38997,0.7889,0.00058175,0.00058175,0.00058175
56,39.3807,0.43769,0.49399,0.8099,0.99025,0.98303,0.995,0.92741,0.39027,0.4035,0.79235,0.000569375,0.000569375,0.000569375
57,39.9905,0.4428,0.52069,0.80281,0.99025,0.98303,0.995,0.92741,0.39027,0.4035,0.79235,0.000557,0.000557,0.000557
58,40.6179,0.46738,0.512,0.80637,0.99185,0.98111,0.995,0.92505,0.38361,0.39225,0.79092,0.000544625,0.000544625,0.000544625
59,41.2605,0.4458,0.51645,0.81819,0.99185,0.98111,0.995,0.92505,0.38361,0.39225,0.79092,0.00053225,0.00053225,0.00053225
60,41.9592,0.44174,0.46987,0.80555,0.99444,0.9841,0.995,0.93131,0.36635,0.38571,0.78771,0.000519875,0.000519875,0.000519875
