epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.8616,0.4329,5.217,0.25774,0.48067,1.03371,0.89335,0.9345,0.95294,0.88546,0.65221,0.6169,0.58194,0.14675,0.40023,4.46703,0.26825,0.39707,0.94701,6.15226e-05,6.15226e-05,6.15226e-05
2,127.056,0.41429,5.10507,0.25326,0.44976,1.02586,0.9182,0.90953,0.95419,0.88491,0.64848,0.62975,0.59039,0.14675,0.40773,4.48521,0.26965,0.40332,0.95652,0.000118311,0.000118311,0.000118311
3,189.106,0.41416,5.14666,0.25283,0.45045,1.02256,0.93289,0.90363,0.95139,0.88274,0.63903,0.6064,0.54944,0.13086,0.40899,4.5336,0.27128,0.40632,0.95902,0.000170215,0.000170215,0.000170215
4,250.962,0.42026,5.17191,0.25409,0.45285,1.02829,0.9155,0.92081,0.95233,0.87713,0.64502,0.60374,0.55322,0.128,0.41232,4.55406,0.27253,0.40612,0.95994,0.000163022,0.000163022,0.000163022
5,310.286,0.41904,5.17912,0.25498,0.45656,1.02739,0.90794,0.91295,0.95101,0.87679,0.63892,0.64399,0.59081,0.13485,0.41098,4.56652,0.27274,0.41146,0.95947,0.000155696,0.000155696,0.000155696
6,372.347,0.41891,5.16938,0.2553,0.45598,1.02717,0.91729,0.92114,0.94991,0.87881,0.65114,0.62605,0.56713,0.13196,0.41482,4.54123,0.27372,0.40997,0.96146,0.00014837,0.00014837,0.00014837
7,434.461,0.41591,5.20292,0.25392,0.45329,1.02584,0.91557,0.92208,0.94972,0.87357,0.64966,0.61717,0.57083,0.13524,0.41695,4.53018,0.27296,0.40919,0.96565,0.000141044,0.000141044,0.000141044
8,498.163,0.41404,5.16052,0.25474,0.45136,1.02462,0.91618,0.90297,0.94928,0.87556,0.65881,0.61729,0.57713,0.13887,0.41778,4.53248,0.27141,0.41686,0.96652,0.000133718,0.000133718,0.000133718
9,558.189,0.41623,5.17585,0.25549,0.45038,1.02671,0.91243,0.91049,0.948,0.87449,0.64358,0.61837,0.56438,0.13518,0.41499,4.53712,0.27469,0.42352,0.96025,0.000126392,0.000126392,0.000126392
10,623.062,0.41656,5.14676,0.25397,0.45391,1.0247,0.91478,0.9183,0.95402,0.88406,0.6482,0.633,0.57418,0.13614,0.41496,4.53243,0.27747,0.40294,0.9654,0.000119066,0.000119066,0.000119066
11,687.015,0.41832,5.13196,0.25697,0.45382,1.02572,0.91925,0.90363,0.94882,0.87964,0.64513,0.62969,0.58829,0.13808,0.41103,4.51564,0.27597,0.40644,0.95788,0.00011174,0.00011174,0.00011174
12,750.293,0.41426,5.16192,0.25496,0.4507,1.02441,0.91328,0.90395,0.94907,0.87835,0.65619,0.63543,0.58521,0.14048,0.41125,4.51556,0.27064,0.40792,0.95906,0.000104414,0.000104414,0.000104414
13,814.205,0.4164,5.13454,0.25346,0.44841,1.0225,0.88882,0.93498,0.95192,0.8843,0.62464,0.65719,0.59206,0.14313,0.40481,4.49831,0.27197,0.40647,0.9512,9.7088e-05,9.7088e-05,9.7088e-05
14,874.489,0.41758,5.11416,0.25231,0.46001,1.02739,0.91685,0.92303,0.94956,0.88153,0.65554,0.64772,0.57906,0.14306,0.40232,4.48317,0.27245,0.39845,0.95002,8.9762e-05,8.9762e-05,8.9762e-05
15,939.871,0.41438,5.09394,0.25431,0.43936,1.02771,0.90839,0.92237,0.95098,0.8797,0.65533,0.6484,0.58413,0.1446,0.40745,4.46586,0.27509,0.39991,0.953,8.2436e-05,8.2436e-05,8.2436e-05
16,1008.71,0.28871,3.875,0.27351,0.23947,0.93473,0.90332,0.9132,0.94638,0.87345,0.67595,0.61242,0.58912,0.14057,0.42498,4.51471,0.27087,0.4169,0.98099,7.511e-05,7.511e-05,7.511e-05
17,1072.99,0.27732,3.81426,0.27128,0.22422,0.92387,0.89577,0.91797,0.94823,0.87678,0.63657,0.63852,0.58409,0.1428,0.41407,4.48156,0.26772,0.41928,0.96678,6.7784e-05,6.7784e-05,6.7784e-05
18,1139.9,0.27298,3.79978,0.26956,0.21957,0.92241,0.89734,0.91678,0.94729,0.87826,0.67422,0.63309,0.59715,0.14433,0.41066,4.47709,0.26753,0.40917,0.96933,6.0458e-05,6.0458e-05,6.0458e-05
19,1200.05,0.27202,3.7683,0.26767,0.21736,0.92616,0.91339,0.90738,0.95389,0.88459,0.67134,0.63896,0.61904,0.15389,0.41195,4.46689,0.26529,0.40309,0.96712,5.3132e-05,5.3132e-05,5.3132e-05
20,1265.88,0.26366,3.73715,0.26662,0.20892,0.91623,0.88719,0.93667,0.95538,0.88838,0.6707,0.63273,0.60609,0.15404,0.40404,4.46598,0.26499,0.40053,0.96314,4.5806e-05,4.5806e-05,4.5806e-05
21,1330.81,0.2666,3.7071,0.26586,0.21093,0.91913,0.89613,0.9213,0.95343,0.88684,0.66995,0.65431,0.63398,0.15693,0.40358,4.44488,0.2644,0.39349,0.96309,3.848e-05,3.848e-05,3.848e-05
22,1394.76,0.26265,3.71919,0.26404,0.20465,0.91353,0.92098,0.91366,0.95095,0.8846,0.67659,0.66602,0.62891,0.15836,0.40151,4.42981,0.2648,0.39467,0.9604,3.1154e-05,3.1154e-05,3.1154e-05
23,1458.55,0.2601,3.69269,0.26545,0.20396,0.90898,0.92153,0.90935,0.95462,0.88963,0.67874,0.64429,0.6262,0.15907,0.40018,4.42519,0.26425,0.39615,0.95784,2.3828e-05,2.3828e-05,2.3828e-05
24,1519.75,0.26208,3.6864,0.26417,0.20434,0.9096,0.92243,0.90511,0.95513,0.89055,0.69256,0.65475,0.64355,0.16228,0.3998,4.41038,0.2639,0.39498,0.9562,1.6502e-05,1.6502e-05,1.6502e-05
25,1584.81,0.25798,3.68048,0.26528,0.20258,0.90959,0.92147,0.90712,0.95411,0.88897,0.6927,0.66831,0.64462,0.1646,0.39922,4.40685,0.26387,0.3934,0.95632,9.176e-06,9.176e-06,9.176e-06
