epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.93454,0.58247,1.1191,0.83359,0.74722,0.76547,0.81819,0.72683,0.50193,0.9952,0.81687,1.25e-05,1.25e-05,1.25e-05
2,1.6056,0.54942,1.09927,0.81452,0.75605,0.76814,0.83316,0.73317,0.51173,0.95797,0.81823,3.67575e-05,3.67575e-05,3.67575e-05
3,2.2985,0.63236,1.23147,0.84279,0.80121,0.75879,0.86897,0.75539,0.51263,0.86106,0.81525,6.0025e-05,6.0025e-05,6.0025e-05
4,2.9513,0.56143,1.05924,0.8462,0.72307,0.87398,0.87902,0.7679,0.50419,0.82313,0.81114,8.23025e-05,8.23025e-05,8.23025e-05
5,3.64224,0.57559,1.11109,0.82478,0.8225,0.83831,0.88867,0.78052,0.5143,0.79247,0.81328,0.00010359,0.00010359,0.00010359
6,4.32124,0.54229,1.03812,0.83188,0.80002,0.90343,0.87894,0.76651,0.53225,0.78064,0.81876,0.000123888,0.000123888,0.000123888
7,4.99261,0.59137,1.06988,0.85062,0.79614,0.89982,0.88146,0.77126,0.53378,0.7846,0.82179,0.000143195,0.000143195,0.000143195
8,5.61729,0.59472,1.09227,0.83115,0.82026,0.85614,0.87514,0.76375,0.52308,0.78597,0.82134,0.000161513,0.000161513,0.000161513
9,6.31769,0.63423,1.02603,0.83891,0.80606,0.87302,0.88087,0.76513,0.5095,0.77755,0.81886,0.00017884,0.00017884,0.00017884
10,6.94494,0.58197,0.96865,0.81506,0.8071,0.86419,0.89811,0.77955,0.49914,0.75709,0.81781,0.000195178,0.000195178,0.000195178
11,7.59672,0.58087,1.0271,0.81776,0.81155,0.87378,0.91155,0.79298,0.50753,0.7467,0.81996,0.000210525,0.000210525,0.000210525
